Date,Volume,Volume_Change,Volume_Label
2021-09-12,48187149198.22222,-7166508224.272545,0
2021-09-13,65135996771.55556,16948847573.333336,1
2021-09-14,77498384326.91289,12362387555.35733,1
2021-09-15,68721306040.88889,-8777078286.024002,0
2021-09-16,59031345166.22222,-9689960874.666664,0
2021-09-17,53341337585.77778,-5690007580.444443,0
2021-09-18,52242868759.19164,-1098468826.5861359,0
2021-09-19,51351781646.22222,-891087112.9694214,0
2021-09-20,72526282808.88889,21174501162.666664,1
2021-09-21,85540318435.55556,13014035626.666672,1
2021-09-22,101514436494.22224,15974118058.666687,1
2021-09-23,67141167914.66666,-34373268579.55559,0
2021-09-24,68753344062.43903,1612176147.7723694,1
2021-09-25,66894799872.0,-1858544190.4390259,0
2021-09-26,46581943142.18026,-20312856729.81974,0
2021-09-27,51031440797.95744,4449497655.777184,1
2021-09-28,51750097181.0696,718656383.1121597,1
2021-09-29,50405842857.76842,-1344254323.3011856,0
2021-09-30,54175087118.22222,3769244260.453804,1
2021-10-01,63060539363.55556,8885452245.333336,1
2021-10-02,60614023324.44444,-2446516039.1111145,0
2021-10-03,47566767232.0,-13047256092.444443,0
2021-10-04,60738746936.888885,13171979704.888885,1
2021-10-05,68596958151.11112,7858211214.222237,1
2021-10-06,77199761550.22223,8602803399.111107,1
2021-10-07,88802412237.1568,11602650686.93457,1
2021-10-08,83169587982.22223,-5632824254.93457,0
2021-10-09,77278436707.55556,-5891151274.666672,0
2021-10-10,85188122481.77777,7909685774.222214,1
2021-10-11,101108074300.60776,15919951818.829987,1
2021-10-12,106240113166.62856,5132038866.020798,1
2021-10-13,87099681979.49295,-19140431187.135605,0
2021-10-14,74616135622.106,-12483546357.386948,0
2021-10-15,86118647815.1359,11502512193.029892,1
2021-10-16,120671026625.1228,34552378809.98691,1
2021-10-17,99027803955.2,-21643222669.922806,0
2021-10-18,98838596113.9021,-189207841.29789734,0
2021-10-19,85006746873.66785,-13831849240.234253,0
2021-10-20,97986327751.11111,12979580877.443268,1
2021-10-21,114587804017.77776,16601476266.666641,1
2021-10-22,105551377578.66669,-9036426439.111069,0
2021-10-23,99046595242.66669,-6504782336.0,0
2021-10-24,78674725788.44444,-20371869454.222244,0
2021-10-25,124336882773.33331,45662156984.88887,1
2021-10-26,85019446769.77777,-39317436003.55554,0
2021-10-27,84438787370.66667,-580659399.1110992,0
2021-10-28,99674333809.77776,15235546439.111084,1
2021-10-29,86787949710.22223,-12886384099.555527,0
2021-10-30,82731468344.88889,-4056481365.3333435,0
2021-10-31,74910356821.33333,-7821111523.555557,0
2021-11-01,76192515527.11111,1282158705.7777863,1
2021-11-02,74053887693.1568,-2138627833.9543152,0
2021-11-03,78078281728.0,4024394034.8432007,1
2021-11-04,91063906304.0,12985624576.0,1
2021-11-05,78060530858.66667,-13003375445.333328,0
2021-11-06,67753831523.55556,-10306699335.111115,0
2021-11-07,51662948792.888885,-16090882730.666672,0
